PIN,SBL,OBJECTID,Shape__Area,Shape__Length
101.00-2-8,10100000020080000000,187,6008.94140625,303.113855897133
101.00-2-9.11,10100000020090110000,188,8559.22265625,366.671260644353
101.00-2-9.12,10100000020090120000,189,54676.31640625,1429.68297577789
101.00-2-9.13,10100000020090130000,190,6992.83203125,334.59349631382
101.00-2-9.2,10100000020090200000,191,13251.59375,465.083752616521
102.00-1-1.1,10200000010010010000,192,105026.87109375,1303.25347858182
102.00-1-1.21,10200000010010210000,193,244965.25,2677.18542744538
102.00-1-1.22,10200000010010220000,194,383415.2890625,3562.40847458389
102.00-1-10.1,10200000010100100000,195,31707.203125,803.649609596134
102.00-1-10.2,10200000010100200000,196,189870.53515625,2211.78192266064
102.00-1-11,10200000010110000000,197,710.54296875,106.679604519634
102.00-1-12,10200000010120000000,198,4262.2265625,349.695846710593
102.00-1-13.2,10200000010130200000,199,2217.1875,202.459411326062
102.00-1-14.11,10200000010140110000,200,44263.28515625,1075.63547987077
102.00-1-14.12,10200000010140120000,201,20106.6484375,766.700032512824
102.00-1-14.2,10200000010140200000,202,7470.34765625,402.595096287918
102.00-1-15,10200000010150000000,203,57338.8671875,1071.24458387053
102.00-1-16,10200000010160000000,204,6484.9921875,350.478749794596
102.00-1-17,10200000010170000000,205,15594.6484375,585.566281355843
102.00-1-18,10200000010180000000,206,10503.02734375,421.522661110895
102.00-1-19,10200000010190000000,207,47596.8984375,1198.60651856173
102.00-1-2,10200000010020000000,208,401031.75,2982.45689424349
102.00-1-20,10200000010200000000,209,92178.09375,1323.40028148057
102.00-1-21,10200000010210000000,210,43645.171875,1161.89587770164
102.00-1-22,10200000010220000000,211,106508.421875,1334.13719888246
102.00-1-23,10200000010230000000,212,70938.44140625,1101.76336609397
102.00-1-24,10200000010240000000,213,1121722.51171875,4923.08218527072
102.00-1-25,10200000010250000000,214,73679.5078125,1377.5136791966
102.00-1-26,10200000010260000000,215,43409.69140625,1209.18080768639
102.00-1-27,10200000010270000000,216,62033.58984375,1251.10233334696
102.00-1-28.11,10200000010280110000,217,563514.1171875,4877.16141279048
102.00-1-28.12,10200000010280120000,218,539750.03515625,6099.91605615824
102.00-1-28.2,10200000010280200000,219,22968.703125,606.326640782524
102.00-1-29.1,10200000010290100000,220,670892.05078125,5164.58135069004
102.00-1-29.2,10200000010290200000,221,7695.890625,365.656170468807
102.00-1-3,10200000010030000000,222,366032.0546875,2858.27439703284
102.00-1-30,10200000010300000000,223,12204.33984375,543.745917761349
102.00-1-31,10200000010310000000,224,722825.8515625,3733.08077755206
102.00-1-4,10200000010040000000,225,11379.1953125,479.623574683044
102.00-1-5,10200000010050000000,226,370174.75,3557.97784457826
102.00-1-6,10200000010060000000,227,777013.140625,6052.92259906902
102.00-1-7.11,10200000010070110000,228,152802.26953125,1616.29128286369
102.00-1-7.12,10200000010070120000,229,1284658.45703125,5158.50104230349
102.00-1-7.2,10200000010070020000,230,56675.984375,1119.86493116536
102.00-1-8,10200000010080000000,231,15192.52734375,861.280994157763
102.00-1-9,10200000010090000000,232,384059.796875,2946.3000704906
102.00-2-1.1,10200000020010010000,233,716317.47265625,5182.07118698465
102.00-2-1.2,10200000020010020000,234,42233.046875,1092.1347911741
102.00-2-10,10200000020100000000,235,26958.65234375,665.211786477381
102.00-2-12,10200000020120000000,236,13777.23046875,473.605416810499
102.00-2-13,10200000020130000000,237,108291.546875,2101.69159575398
102.00-2-14,10200000020140000000,238,109281.83203125,2127.03465211157
102.00-2-15,10200000020150000000,239,110561.59765625,2060.06322235006
102.00-2-16.1,10200000020160100000,240,161102.73046875,2097.24534304574
102.00-2-16.2,10200000020160200000,241,753023.2734375,3682.17075039335
102.00-2-16.3,10200000020160300000,242,17878.4609375,569.966071437253
